cca_num,variable,Units,moe,High_Error,cca_name
1,B25032H_002,859,189.16130682568252,TRUE,Rogers Park
1,B25032H_003,167,78.60661549767933,TRUE,Rogers Park
1,B25032H_004,573,143.3073619881407,TRUE,Rogers Park
1,B25032H_005,1617,514.902903468217,TRUE,Rogers Park
1,B25032H_006,2861,427.1311274070294,FALSE,Rogers Park
1,B25032H_007,1791,310.4400103079498,FALSE,Rogers Park
1,B25032H_008,3317,437.51571400350866,FALSE,Rogers Park
1,B25032H_009,2156,381.35678832295616,FALSE,Rogers Park
1,B25032H_010,16,50.635955604688654,TRUE,Rogers Park
1,B25032H_011,0,48.041648597857254,TRUE,Rogers Park
1,B25032I_001,3823,539.5664926586899,FALSE,Rogers Park
1,B25032I_002,153,101.64152694642087,TRUE,Rogers Park
1,B25032I_003,65,82.46211251235322,TRUE,Rogers Park
1,B25032I_004,94,87.52713864853574,TRUE,Rogers Park
1,B25032I_005,648,208.11535262925702,TRUE,Rogers Park
1,B25032I_006,1232,325.4166559965854,TRUE,Rogers Park
1,B25032I_007,518,187.3339264522046,TRUE,Rogers Park
1,B25032I_008,668,256.19328640696267,TRUE,Rogers Park
1,B25032I_009,428,292.4790590794493,TRUE,Rogers Park
1,B25032I_010,17,54.29548784199291,TRUE,Rogers Park
1,B25032I_011,0,48.041648597857254,TRUE,Rogers Park
2,B25024_001,28703,915.6030799423951,FALSE,West Ridge
2,B25024_002,5682,488.6491583948549,FALSE,West Ridge
2,B25024_003,1152,315.67071451118176,TRUE,West Ridge
2,B25024_004,3245,516.9661497622451,FALSE,West Ridge
2,B25024_005,6528,750.1293221838486,FALSE,West Ridge
2,B25024_006,5004,523.0869908533379,FALSE,West Ridge
2,B25024_007,2246,411.2383736958408,FALSE,West Ridge
2,B25024_008,2279,455.36798306424663,FALSE,West Ridge
2,B25024_009,2507,355.2280957356836,FALSE,West Ridge
2,B25024_010,52,68.8839603971781,TRUE,West Ridge
2,B25024_011,8,58.872744118140105,TRUE,West Ridge
2,B25032A_001,13794,827.5856451147519,FALSE,West Ridge
2,B25032A_002,3682,372.5681145777239,FALSE,West Ridge
2,B25032A_003,617,263.9450700429921,TRUE,West Ridge
2,B25032A_004,1215,361.91297296449596,TRUE,West Ridge
2,B25032A_005,2703,467.4526714010735,FALSE,West Ridge
2,B25032A_006,2085,382.06543942105,FALSE,West Ridge
2,B25032A_007,940,293.04436524185206,TRUE,West Ridge
2,B25032A_008,797,196.75365307917411,TRUE,West Ridge
2,B25032A_009,1745,315.5202053751867,FALSE,West Ridge
2,B25032A_010,10,59.312730505347666,TRUE,West Ridge
2,B25032A_011,0,58.872744118140105,TRUE,West Ridge
2,B25032B_001,3395,563.1074497820109,FALSE,West Ridge
2,B25032B_002,211,114.6821694946516,TRUE,West Ridge
2,B25032B_003,237,125.12393855693642,TRUE,West Ridge
2,B25032B_004,423,235.70108188126758,TRUE,West Ridge
2,B25032B_005,666,284.7981741514506,TRUE,West Ridge
2,B25032B_006,622,189.14280319377738,TRUE,West Ridge
2,B25032B_007,398,174.63103962354458,TRUE,West Ridge
2,B25032B_008,709,350.92734290733176,TRUE,West Ridge
2,B25032B_009,129,87.23531395025755,TRUE,West Ridge
2,B25032B_010,0,58.872744118140105,TRUE,West Ridge
2,B25032B_011,0,58.872744118140105,TRUE,West Ridge
2,B25032C_001,186,118.51160280748886,TRUE,West Ridge
2,B25032C_002,48,69.68500556073738,TRUE,West Ridge
2,B25032C_003,0,58.872744118140105,TRUE,West Ridge
2,B25032C_004,8,59.08468498688979,TRUE,West Ridge
2,B25032C_005,8,63.387695966961914,TRUE,West Ridge
2,B25032C_006,100,105.88673193559238,TRUE,West Ridge
2,B25032C_007,0,58.872744118140105,TRUE,West Ridge
2,B25032C_008,0,58.872744118140105,TRUE,West Ridge
2,B25032C_009,22,60.51446108162907,TRUE,West Ridge
2,B25032C_010,0,58.872744118140105,TRUE,West Ridge
2,B25032C_011,0,58.872744118140105,TRUE,West Ridge
2,B25032D_001,4874,531.0376634477069,FALSE,West Ridge
2,B25032D_002,823,220.9298531208492,TRUE,West Ridge
2,B25032D_003,195,108.2635672791175,TRUE,West Ridge
2,B25032D_004,682,235.05956691868553,TRUE,West Ridge
